generator,corr,lambda_interference,randers_mode,reference_load,n_points,prefactor_a,decay_beta,loglog_r2
block,0.25,4.0,random-fixed,0.3,4,0.0023815866191453385,0.5046521553166928,0.8719796316597135
block,0.25,4.0,random-fixed,0.6,4,0.017854777100610324,0.8628662499817322,0.9834221205061363
block,0.35,0.5,mean,0.1,4,0.0045187219487659944,0.652745635793755,0.9729397160987869
block,0.35,0.5,mean,0.3,4,0.005538580741443556,0.6893685551802574,0.9731182384605239
block,0.35,0.5,mean,0.6,4,0.004135818135419283,0.6445053682567087,0.9753124486858409
block,0.35,0.5,pc1,0.1,4,0.0028005494581256826,0.5747183948902863,0.9342386080691695
block,0.35,0.5,pc1,0.3,4,0.002949649097981578,0.5794252730262266,0.9789438972745965
block,0.35,0.5,pc1,0.6,4,0.0018669844739081195,0.49820840604332295,0.9589349744388357
block,0.35,0.5,random-fixed,0.1,4,0.0018971544975624037,0.49206385438291683,0.9249780252053629
block,0.35,0.5,random-fixed,0.3,4,0.0027954349969226953,0.5781792848648286,0.9794310228862381
block,0.35,0.5,random-fixed,0.6,4,0.0034018356929392136,0.5982734601163555,0.9767231460404215
block,0.35,1.0,mean,0.1,4,0.007787108709105474,0.6342215704427389,0.9624875826235227
block,0.35,1.0,mean,0.3,4,0.006448138540620014,0.5924052145648637,0.9561184609279518
block,0.35,1.0,mean,0.6,4,0.0065560404601453124,0.5964568558239035,0.9900791672929956
block,0.35,1.0,pc1,0.1,4,0.0030138665831567894,0.4626797371529801,0.9848086422913602
block,0.35,1.0,pc1,0.3,4,0.008644248619017298,0.6432890975735134,0.990241899930241
block,0.35,1.0,pc1,0.6,4,0.008025469855730553,0.6306846382001218,0.9187289756321342
block,0.35,1.0,random-fixed,0.1,4,0.011298628607361501,0.697016993581065,0.9625958491441089
block,0.35,1.0,random-fixed,0.3,4,0.007162401034653905,0.6085455957039995,0.9630065504875148
block,0.35,1.0,random-fixed,0.6,4,0.004148864699959587,0.5135769985864614,0.9676694703471661
block,0.35,2.0,mean,0.1,4,0.010700505637817291,0.5558930783996294,0.9878076368910244
block,0.35,2.0,mean,0.3,4,0.008648921102877497,0.52706346932737,0.9954540563573852
block,0.35,2.0,mean,0.6,4,0.016550329095464417,0.6331150712545851,0.9834490987852931
block,0.35,2.0,pc1,0.1,4,0.005621499371002375,0.45178880660109183,0.9445511968701367
block,0.35,2.0,pc1,0.3,4,0.007284987624383979,0.49621863483868334,0.9962480486990153
block,0.35,2.0,pc1,0.6,4,0.01247285995554384,0.5644328602132453,0.9958753737766574
block,0.35,2.0,random-fixed,0.1,4,0.004388824041353128,0.39464238301046867,0.9385638119849845
block,0.35,2.0,random-fixed,0.3,4,0.008138874928928569,0.514364484174914,0.9863344512561973
block,0.35,2.0,random-fixed,0.6,4,0.0126360281659931,0.5967923397772923,0.9886090895219126
block,0.35,4.0,mean,0.1,4,0.02334757538328795,0.5732960179078938,0.9368267920078873
block,0.35,4.0,mean,0.3,4,0.04485506429433398,0.6880203929620607,0.9855936293048875
block,0.35,4.0,mean,0.6,4,0.023286145561135528,0.5691279387993362,0.9568454167791776
block,0.35,4.0,pc1,0.1,4,0.024912813872614726,0.5813914343032734,0.9915812924090388
block,0.35,4.0,pc1,0.3,4,0.0051024305640798556,0.30257036414548083,0.9504747788287052
block,0.35,4.0,pc1,0.6,4,0.028527103139154925,0.6095241461147308,0.9903250050569984
block,0.35,4.0,random-fixed,0.1,4,0.035710198348975965,0.6524995485163937,0.9484697358842779
block,0.35,4.0,random-fixed,0.3,4,0.021253696831268026,0.5651094071169506,0.9719828804661392
block,0.35,4.0,random-fixed,0.6,4,0.019517472195231814,0.5412224089584163,0.9786166525393725
block,0.45,0.5,mean,0.1,4,0.005778450519370994,0.40625568618962477,0.9510272475969165
block,0.45,0.5,mean,0.3,4,0.0037362628634036096,0.33539480885225714,0.981465183500001
block,0.45,0.5,mean,0.6,4,0.003264683827019074,0.3033008374738255,0.938277435821791
block,0.45,0.5,pc1,0.1,4,0.004519940333468006,0.36855989231384556,0.9260358912712487
block,0.45,0.5,pc1,0.3,4,0.005977578175849907,0.40871893473296406,0.9400626959919244
block,0.45,0.5,pc1,0.6,4,0.004063765721353188,0.34988389775271056,0.9425836181646969
block,0.45,0.5,random-fixed,0.1,4,0.002061361526747999,0.23366420659164933,0.9255946045685196
block,0.45,0.5,random-fixed,0.3,4,0.0033971226906029718,0.314294215417454,0.97189725023318
block,0.45,0.5,random-fixed,0.6,4,0.004664774292560218,0.366818050939045,0.9631874479549136
block,0.45,1.0,mean,0.1,4,0.009401844855571558,0.3745890144236465,0.9915543071599954
block,0.45,1.0,mean,0.3,4,0.012700645387534874,0.42851500168835055,0.9914286504357767
block,0.45,1.0,mean,0.6,4,0.010416698301523829,0.38927390645681814,0.9912455467515976
block,0.45,1.0,pc1,0.1,4,0.011596225046974449,0.3993828797602468,0.9136830949736193
block,0.45,1.0,pc1,0.3,4,0.005388419794310373,0.2799043816695822,0.9468300842297965
block,0.45,1.0,pc1,0.6,4,0.008456037018422095,0.3462867422576453,0.940558355275742
block,0.45,1.0,random-fixed,0.1,4,0.005449703276455077,0.27401063608587795,0.9452532727088689
block,0.45,1.0,random-fixed,0.3,4,0.012979293987880645,0.42739644351663414,0.8968366103333302
block,0.45,1.0,random-fixed,0.6,4,0.0080116647968288,0.3404207125765911,0.9403888386794269
block,0.45,2.0,mean,0.1,4,0.02327403363933383,0.40699565262206183,0.9354526214965845
block,0.45,2.0,mean,0.3,4,0.01626260783115865,0.35049099353806257,0.9585460904865313
block,0.45,2.0,mean,0.6,4,0.018544545384136076,0.3719874064840606,0.928042364865094
block,0.45,2.0,pc1,0.1,4,0.017891913140650237,0.3555336331336572,0.9442126921728615
block,0.45,2.0,pc1,0.3,4,0.015545808398842148,0.3440749105189898,0.994793442583857
block,0.45,2.0,pc1,0.6,4,0.009752145787674117,0.24998435285890172,0.9818787161568561
block,0.45,2.0,random-fixed,0.1,4,0.011431686175361833,0.2834963262218224,0.9668270880903431
block,0.45,2.0,random-fixed,0.3,4,0.015128606515820799,0.3246584159481316,0.9812004620973547
block,0.45,2.0,random-fixed,0.6,4,0.016795131128100754,0.34556783022790816,0.96706510272311
block,0.45,4.0,mean,0.1,4,0.02158598253618539,0.27554306055413713,0.9585489950283188
block,0.45,4.0,mean,0.3,4,0.04802240198987485,0.41894482735057764,0.9183785686265187
block,0.45,4.0,mean,0.6,4,0.019124439170913953,0.25690321329967986,0.9671501106548718
block,0.45,4.0,pc1,0.1,4,0.029090526433052863,0.3225305906854426,0.9587725146179301
block,0.45,4.0,pc1,0.3,4,0.03265299256361547,0.3446578501083584,0.9869660214504292
block,0.45,4.0,pc1,0.6,4,0.02807603252621198,0.3213248887252796,0.9967715684533569
block,0.45,4.0,random-fixed,0.1,4,0.04080945604714207,0.38833592897977043,0.9822036600484034
block,0.45,4.0,random-fixed,0.3,4,0.038863503044253934,0.37180507195106594,0.8878976216859414
block,0.45,4.0,random-fixed,0.6,4,0.029627858463906306,0.33002733867129896,0.9655241931854899
latent,0.15,0.5,mean,0.1,3,0.14882410194228507,1.881207764987736,0.9861017827012676
