N,nominal_load,actual_load,P,generator,corr,condition,cue_noise,cost_int_mean,cost_int_sem,n_trials,cost_cum_mean,cost_cum_sem,initial_overlap_mean,initial_overlap_sem,final_overlap_mean,final_overlap_sem,retrieval_error_mean,retrieval_error_sem,success_mean,success_sem,iterations_mean,iterations_sem,pearson_cost_error,spearman_cost_error,pearson_cost_failure,spearman_cost_failure
128,0.05,0.046875,6,block,0.35,uncorrelated,0.15,1.0001116989920888,5.993495555798349e-06,600,1.0005581562608263,2.9908890741648845e-05,0.6998177083333333,0.002553164439947462,1.0,0.0,0.0,0.0,1.0,0.0,2.013333333333333,0.00468641975743004,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.35,uncorrelated,0.2,1.0001179100560185,7.857278792129737e-06,600,1.0005890442010623,3.918196712496716e-05,0.5963020833333333,0.002714098534816676,0.99921875,0.00040586991551581214,0.00078125,0.0004058699155158121,0.995,0.002881928032059432,2.0866666666666664,0.012647937417034147,0.01724303647550043,0.056581676676713426,0.02829566232761899,0.04631737982828426
128,0.05,0.046875,6,block,0.45,correlated,0.05,1.0029109357074715,9.341703651220208e-05,600,1.0144217221017693,0.0004594239164673462,0.9009375,0.001534122527118903,0.7484375,0.008037504851916065,0.2515625,0.008037504851916065,0.3383333333333333,0.01933208120597484,3.796666666666667,0.07200123146579755,0.3717244304992493,0.44528741606584954,0.5721087583206562,0.6959358141140132
128,0.05,0.046875,6,block,0.45,correlated,0.1,1.0029557966704414,9.080820520505659e-05,600,1.0146460905901258,0.00044694919118185125,0.79671875,0.0022378031743025295,0.73859375,0.008020679474689494,0.26140625,0.008020679474689495,0.31333333333333335,0.018952341403294676,3.7916666666666665,0.06287842217146332,0.35485711546789434,0.38915252090432517,0.5535596578168025,0.6474270125938627
128,0.05,0.046875,6,block,0.45,correlated,0.15,1.00303167744508,9.248458889401425e-05,600,1.015019352585956,0.00045509744685350056,0.7009114583333333,0.0027139690087773054,0.737890625,0.00782946409630382,0.262109375,0.00782946409630382,0.2966666666666667,0.018663864166761347,3.84,0.06189009592243992,0.35093614253780075,0.38943622027847236,0.5688651554197169,0.6711158454026805
128,0.05,0.046875,6,block,0.45,correlated,0.2,1.002824264448038,8.935521862532866e-05,600,1.0139973623026124,0.00043966373476193995,0.60515625,0.0028686623586463744,0.7315364583333334,0.008245149962940467,0.2684635416666667,0.008245149962940467,0.31833333333333336,0.019033281729452005,3.941666666666667,0.06644980727891492,0.33148594542737636,0.37568726510802064,0.540462281101149,0.6460984267261044
128,0.05,0.046875,6,block,0.45,uncorrelated,0.05,1.000107299322909,7.4832882347848e-06,600,1.000536048741008,3.73067274449491e-05,0.9020052083333333,0.0016206986053521905,1.0,0.0,0.0,0.0,1.0,0.0,1.9983333333333333,0.0016666666666666668,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.45,uncorrelated,0.1,1.0000996116275103,7.233989539647996e-06,600,1.0004976479280212,3.606496046566324e-05,0.8013802083333333,0.0020748031469261363,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.45,uncorrelated,0.15,1.0001124931321683,7.84106573829021e-06,600,1.0005619736372482,3.909762336461611e-05,0.7030989583333334,0.0024771194804068994,1.0,0.0,0.0,0.0,1.0,0.0,2.0166666666666666,0.005230718450397329,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.45,uncorrelated,0.2,1.0001048161226276,7.632065560070606e-06,600,1.0005236246110893,3.804942515350311e-05,0.593984375,0.002809878791714205,0.999453125,0.0003868153824992969,0.000546875,0.0003868153824992969,0.9966666666666667,0.0023550543175125337,2.07,0.010945811791307623,0.2838462201319697,0.012459305127253646,0.299597499303009,0.012604707917675663
