N,nominal_load,actual_load,P,condition,n_reps,cost_cum_mean,cost_cum_sem,cost_int_mean,cost_int_sem,randers_write_mean,randers_write_sem,randers_erase_mean,randers_erase_sem,randers_asymmetry_mean,randers_asymmetry_sem
128,0.55,0.546875,70,uncorrelated,120,1.0090412240246929,0.00036344401827127483,1.0001298464349053,5.249851152062752e-06,1.0003954916161808,0.0001713170327362098,0.9998642012536298,0.00016323483682764632,0.0005312903625508772,0.0003344847254672484
128,0.6,0.6015625,77,correlated,120,1.0686919277032663,0.003681339345263631,1.0009326185226881,5.216041637840633e-05,1.016176936589402,0.0007054758449942316,0.9856883004559739,0.0006050481040694691,0.030488636133428077,0.0013102197968545939
128,0.6,0.6015625,77,uncorrelated,120,1.0090609217645587,0.00034235927041634717,1.0001182897982404,4.498863909546795e-06,1.0000084509379916,0.0001401253898588858,1.000228128658489,0.00013343373355631383,-0.00021967772049767315,0.0002734929855807232
256,0.05,0.05078125,13,correlated,120,1.0063291762100688,0.00040886323810808867,1.0004889861036055,3.172410639308575e-05,1.0078253755778133,0.00035189889905910685,0.9931525966293978,0.0002920350762608065,0.01467277894841561,0.0006435906821463264
256,0.05,0.05078125,13,uncorrelated,120,1.000426950070076,4.1715021441081904e-05,1.000032856134933,3.212109994315419e-06,1.0001572303777968,9.061214022506652e-05,0.999908481892069,8.572365564608679e-05,0.0002487484857274698,0.00017628652695123826
256,0.1,0.1015625,26,correlated,120,1.0132592198606902,0.0007819109914798714,1.0005145616247235,3.068293299288777e-05,1.010666897211642,0.0003994409400789166,0.9903622260378051,0.00034132961566036527,0.020304671173836875,0.0007405080504408973
256,0.1,0.1015625,26,uncorrelated,120,1.0007777096051678,4.776300742998986e-05,1.0000299281108604,1.8391206450932746e-06,1.000034464759301,8.039128458062455e-05,1.00002539146242,7.774942194173924e-05,9.073296880957038e-06,0.0001581199956950616
256,0.15,0.1484375,38,correlated,120,1.0189822079616389,0.0008698363938733414,1.0005052973598887,2.339804021520127e-05,1.0119443780111173,0.0003933497253201024,0.9890662167086599,0.0003482241199634811,0.022878161302457352,0.0007414703062994722
256,0.15,0.1484375,38,uncorrelated,120,1.0012070077296675,6.177535002168228e-05,1.0000317878429597,1.628423361085718e-06,1.0000718295424305,7.872827481082206e-05,0.9999917461434885,7.62866088701524e-05,8.008339894182518e-05,0.0001549998994987421
256,0.2,0.19921875,51,correlated,120,1.0248963213513602,0.0011971763001873458,1.0004957543146789,2.4183938860166042e-05,1.0126639988559174,0.0004286407768752108,0.9883275097734404,0.0003816708537231307,0.02433648908247704,0.0008102293877468815
256,0.2,0.19921875,51,uncorrelated,120,1.0015525250863413,8.497515811359319e-05,1.0000304730930325,1.6702447286100703e-06,0.9999920771911924,8.842827410454898e-05,1.0000688689948725,8.566926739016994e-05,-7.679180368004393e-05,0.00017408735509146425
256,0.25,0.25,64,correlated,120,1.0295038023289715,0.0014263120236213116,1.0004695466646394,2.3160099753617955e-05,1.0132041485490584,0.00043209575998641957,0.9877349447802203,0.0003872493074178235,0.025469203768838083,0.0008192630730755908
256,0.25,0.25,64,uncorrelated,120,1.0018240865442203,8.319554602119606e-05,1.000028533273395,1.303392684261353e-06,0.9999292164947817,7.63923671339051e-05,1.000127850052008,7.42750681757559e-05,-0.00019863355722642416,0.00015065976134227583
256,0.3,0.30078125,77,correlated,120,1.0380440980823242,0.0018314078477055747,1.000505904494561,2.4903130438417183e-05,1.0144222334463404,0.00048109185514936094,0.9865895755427817,0.00043270120063474175,0.0278326579035588,0.0009137169915357108
256,0.3,0.30078125,77,uncorrelated,120,1.002450821526691,8.934412882598259e-05,1.0000318734340803,1.1636673058156737e-06,1.0000447342861005,7.554169760709645e-05,1.0000190125820603,7.371247517676602e-05,2.5721704040320333e-05,0.00014924723669703302
256,0.35,0.3515625,90,correlated,120,1.0407015888891769,0.0019778081070167958,1.0004638901763145,2.3055923912534815e-05,1.0138983737487677,0.0004806096217860296,0.9870294066038617,0.00043571096197305353,0.026868967144906154,0.0009162603338373574
256,0.35,0.3515625,90,uncorrelated,120,1.0028821621054014,0.00012147415329332708,1.0000320793042012,1.35472126619655e-06,1.0000709085712018,8.424813906018872e-05,0.9999932500372007,8.208361562464113e-05,7.765853400135969e-05,0.00016632377069860193
256,0.4,0.3984375,102,correlated,120,1.0480453313245812,0.002237285388736494,1.0004851181868362,2.3229558039665422e-05,1.0147319355472155,0.0004970864670043766,0.9862383008264566,0.0004516337303307011,0.028493634720759015,0.0009486714471489918
256,0.4,0.3984375,102,uncorrelated,120,1.003172846799851,0.00010652564592216494,1.0000311617575979,1.0482067770060714e-06,1.0000597328905354,7.922596574574683e-05,1.0000025906246603,7.753656196142439e-05,5.714226587525961e-05,0.00015675761298418223
256,0.45,0.44921875,115,correlated,120,1.0552984960419798,0.002655668251736614,1.0004976402793455,2.4817221325832596e-05,1.0152488851984272,0.0005169025406134376,0.9857463953602639,0.0004686535780203755,0.029502489838163053,0.000985487314718212
256,0.45,0.44921875,115,uncorrelated,120,1.0036253022157406,0.00011599191797618317,1.000031587910892,1.0127581885434299e-06,1.000049639923859,8.512885320522938e-05,1.000013535897925,8.35817348645079e-05,3.61040259339677e-05,0.00016870552268791598
256,0.5,0.5,128,correlated,120,1.0643649964171762,0.0027946346860557142,1.0005224955524337,2.3522447614524482e-05,1.0162952669128629,0.0004965296482560295,0.9847497241920043,0.0004506342797986987,0.03154554272085851,0.0009471075278376707
256,0.5,0.5,128,uncorrelated,120,1.003781201738077,0.00011952278453376922,1.0000296026382336,9.380733163759387e-07,0.9999018216948932,7.306429646938474e-05,1.000157383581574,7.17577676136557e-05,-0.00025556188668078204,0.00014481580485822514
256,0.55,0.55078125,141,correlated,120,1.0677824825895466,0.0030886183442511974,1.0005008857093294,2.3786011852993632e-05,1.0158784292942862,0.0005132514026617521,0.9851233421243728,0.00046683438743724115,0.03075508716991333,0.0009800304065776925
256,0.55,0.55078125,141,uncorrelated,120,1.004371980238045,0.00014063776170269407,1.0000310825364906,1.0027556322158676e-06,1.0000351659852535,7.780949815672349e-05,1.0000269990877275,7.629316647418621e-05,8.166897526005561e-06,0.0001540970747051557
256,0.6,0.6015625,154,correlated,120,1.0769978635163748,0.00320380596267596,1.0005230335500976,2.2643268205865808e-05,1.0166512466202478,0.0005067195447882133,0.9843948204799474,0.00046241120531183153,0.032256426140300234,0.0009690855325287129
256,0.6,0.6015625,154,uncorrelated,120,1.0046637832412968,0.00012873818593515433,1.0000303608269727,8.404118234086748e-07,1.0000270640944342,7.111396084947395e-05,1.0000336575595112,6.993201214233992e-05,-6.5934650768077285e-06,0.00014104091013540039
512,0.05,0.05078125,26,correlated,120,1.0090695044169145,0.00038033041606597476,1.0003506654458545,1.4802434901509435e-05,1.0102288954184735,0.0002363481602270635,0.9904724354732359,0.000207832103711626,0.019756459945237684,0.0004441090226912553
512,0.05,0.05078125,26,uncorrelated,120,1.000239138928154,1.7968510872756142e-05,1.000009199418948,6.914212892048544e-07,1.0001010076318937,4.453514970540032e-05,0.9999173912060021,4.3421293654904724e-05,0.00018361642589176014,8.795262560207688e-05
512,0.1,0.099609375,51,correlated,120,1.0168251714927792,0.0006966597309248685,1.0003331798230746,1.3948672168826767e-05,1.0121680984954675,0.00030408688575466337,0.9884982611506815,0.0002768294924609938,0.02366983734478587,0.0005808859975479429
512,0.1,0.099609375,51,uncorrelated,120,1.0003889518295521,1.6063330243580866e-05,1.0000076282556627,3.151082399941624e-07,1.0000019541524738,4.046799977943696e-05,1.0000133023588516,3.996143953744998e-05,-1.134820637783418e-05,8.042856544347855e-05
512,0.15,0.150390625,77,correlated,120,1.0264807197484722,0.0009794752030583636,1.0003491290689157,1.3093972321289555e-05,1.0138525243904115,0.00031416181574255687,0.98684573374742,0.00028860219254687075,0.027006790642991663,0.0006027370368431326
512,0.15,0.150390625,77,uncorrelated,120,1.0006221825835564,2.480142754638935e-05,1.000008083243459,3.2235794944797165e-07,1.0000365245492466,3.83152360214227e-05,0.999979641937671,3.784226790272064e-05,5.6882611575600114e-05,7.615624363246211e-05
512,0.2,0.19921875,102,correlated,120,1.0350054915402345,0.0013221823731506036,1.0003501455632415,1.345982036918485e-05,1.0147479423694554,0.0003506363866944175,0.9859523487570278,0.000324248697547147,0.02879559361242769,0.0006748640752127748
512,0.2,0.19921875,102,uncorrelated,120,1.0007871966243662,3.040380428164878e-05,1.0000077211557241,2.9836672123356437e-07,1.0000385530082068,4.288823749755945e-05,0.9999768893032412,4.24036238221612e-05,6.166370496558382e-05,8.529115057844795e-05
512,0.25,0.25,128,correlated,120,1.0426926089621307,0.0013586337579134069,1.0003414481921247,1.1100421326774312e-05,1.015150442128133,0.0003004117309102909,0.9855324542561167,0.0002785362345172903,0.029617987872016253,0.0005789355807001745
512,0.25,0.25,128,uncorrelated,120,1.000968183677082,2.4912379311885396e-05,1.0000075678542124,1.9483489179843746e-07,1.0000032713849445,3.2808152676395664e-05,1.0000118643234803,3.253021831869618e-05,-8.592938535993226e-06,6.533780015625872e-05
512,0.3,0.30078125,154,correlated,120,1.0502405373506662,0.0018127197312253704,1.0003356364690015,1.2435238391481625e-05,1.0154155457486995,0.000349099295461316,0.9852557271893035,0.0003246137508795745,0.030159818559396073,0.0006736989461829188
512,0.3,0.30078125,154,uncorrelated,120,1.0011849534719663,3.2383655506012065e-05,1.0000076994347764,2.1056579835806337e-07,1.0000259449734021,3.6927151636838984e-05,0.9999894538961508,3.661109946405905e-05,3.649107725132254e-05,7.353772441497558e-05
