N,nominal_load,actual_load,P,generator,corr,lambda_interference,randers_alpha,randers_mode,n_reps,deltaF_int_mean,deltaF_int_sem,deltaF_int_ci95_lo,deltaF_int_ci95_hi,deltaF_int_frac_positive,deltaF_cum_mean,deltaF_cum_sem,deltaF_cum_ci95_lo,deltaF_cum_ci95_hi,deltaF_cum_frac_positive,delta_randers_asym_mean,delta_randers_asym_sem,delta_randers_asym_ci95_lo,delta_randers_asym_ci95_hi,delta_randers_asym_frac_positive,mean_pair_overlap_uncorr_mean,mean_pair_overlap_uncorr_sem,mean_pair_overlap_uncorr_ci95_lo,mean_pair_overlap_uncorr_ci95_hi,mean_pair_overlap_uncorr_frac_positive,mean_pair_overlap_corr_mean,mean_pair_overlap_corr_sem,mean_pair_overlap_corr_ci95_lo,mean_pair_overlap_corr_ci95_hi,mean_pair_overlap_corr_frac_positive,cost_uncorr_int_mean,cost_uncorr_int_sem,cost_uncorr_int_ci95_lo,cost_uncorr_int_ci95_hi,cost_uncorr_int_frac_positive,cost_corr_int_mean,cost_corr_int_sem,cost_corr_int_ci95_lo,cost_corr_int_ci95_hi,cost_corr_int_frac_positive,cost_uncorr_cum_mean,cost_uncorr_cum_sem,cost_uncorr_cum_ci95_lo,cost_uncorr_cum_ci95_hi,cost_uncorr_cum_frac_positive,cost_corr_cum_mean,cost_corr_cum_sem,cost_corr_cum_ci95_lo,cost_corr_cum_ci95_hi,cost_corr_cum_frac_positive,randers_uncorr_asym_mean,randers_uncorr_asym_sem,randers_uncorr_asym_ci95_lo,randers_uncorr_asym_ci95_hi,randers_uncorr_asym_frac_positive,randers_corr_asym_mean,randers_corr_asym_sem,randers_corr_asym_ci95_lo,randers_corr_asym_ci95_hi,randers_corr_asym_frac_positive
64,0.1,0.09375,6,biased,0.15,4.0,0.15,pc1,80,-0.0002268271366766994,0.00024894060195978466,-0.0007193058590226165,0.0002139764180958276,0.4125,-0.0013612484570250632,0.0014705995970721785,-0.004065462577289561,0.0016046221813157935,0.4125,-0.0001995246150811173,0.0011114029428267948,-0.002472822797378972,0.001847147677962198,0.475,0.09705729166666668,0.001964816448996716,0.093814453125,0.10115950520833333,1.0,0.09640625,0.0022242600852363623,0.09195052083333334,0.10050846354166666,1.0,1.0011892407150014,0.00015446999477150585,1.0009000628027194,1.0015031008714381,1.0,1.0009624135783248,0.00017510892292635878,1.0006696581895662,1.0013256112812212,1.0,1.0070872385607412,0.0009138759656978167,1.0056122325484853,1.0089382332525323,1.0,1.0057259901037163,0.0010329234358010693,1.0038429789177425,1.0077428137793751,1.0,0.00016139902768140725,0.0008615955206950956,-0.0016157724685070378,0.0015982834164039348,0.4375,-3.8125587399709567e-05,0.0007538383214900068,-0.001446832631436125,0.0014346025005976793,0.4625
64,0.1,0.09375,6,biased,0.15,4.0,0.15,random-fixed,80,-0.00025690845380720305,0.00020906927059933888,-0.0006960355556341061,0.0001985723635733782,0.425,-0.0015206954830660146,0.0012363621174865537,-0.004109210381908248,0.0007130880415451311,0.425,-0.00025793893886049205,0.001105999871254306,-0.002295657916222539,0.0018503313993790255,0.5125,0.09718750000000001,0.0024376059337217187,0.092955078125,0.101603515625,1.0,0.099453125,0.002656965742383904,0.094439453125,0.10497656250000001,1.0,1.0011365677095805,0.00017481562548321707,1.00083744929948,1.0014944628714628,1.0,1.0008796592557734,0.00013784589892187353,1.0006318514669597,1.0011702717768634,1.0,1.0067654399806665,0.001033598671221535,1.00497980815661,1.009071959796966,1.0,1.0052447444976003,0.0008157022199134032,1.0037621229977214,1.006912814262055,1.0,-0.0001693646947188968,0.0006547196363843368,-0.0013983614808451225,0.0010289474696064615,0.4375,-0.0004273036335793887,0.0008339343888059699,-0.002162361516838008,0.0011789256065168425,0.4875
64,0.1,0.09375,6,biased,0.25,0.5,0.15,mean,80,6.647855085620825e-05,3.511265526962186e-05,6.292987372043952e-06,0.00014840785623600406,0.575,0.0003974912756286364,0.00020972314881971267,5.982174313294162e-05,0.0008558406097552018,0.575,0.0021205458336218523,0.001045758550033519,0.00015109872340188314,0.004318645213425443,0.5875,0.09645833333333334,0.0021791645993164918,0.09192447916666667,0.10091276041666665,1.0,0.11208333333333331,0.00260255751972169,0.10688606770833334,0.11722721354166667,1.0,1.0001098874222811,1.2016098336212022e-05,1.0000873019586667,1.0001331241281521,1.0,1.0001763659731377,3.288972712461411e-05,1.0001249205645146,1.0002525077694435,1.0,1.0006589729786568,7.201928465970309e-05,1.0005303438818605,1.0008045524482414,1.0,1.0010564642542854,0.00019637293667001252,1.0007382623455408,1.001480409648172,1.0,-0.0003682462938633775,0.0006185531654512404,-0.0014870614530276978,0.0006803470210687244,0.4625,0.0017522995397584746,0.0008363810935770543,0.000260869429331868,0.0034184441243921247,0.5875
64,0.1,0.09375,6,biased,0.25,0.5,0.15,pc1,80,9.424289041986278e-05,2.769373847196305e-05,4.812769849996117e-05,0.0001458047193241866,0.6125,0.0005643876164214301,0.0001657962129093347,0.0002503096594925269,0.0008816524496926624,0.6125,-0.0013162396846384309,0.001269311269178537,-0.0037865280751872695,0.0012039661326529256,0.375,0.09919270833333334,0.002291634826087778,0.09473697916666668,0.10385546874999999,1.0,0.11203124999999999,0.0026367880348179434,0.10724934895833332,0.11690885416666666,1.0,1.0001112794041132,1.2627917913200122e-05,1.0000883035786072,1.000135814451541,1.0,1.0002055222945327,2.6248966305794533e-05,1.000156553486637,1.0002579250751888,1.0,1.000667302432388,7.56889676899302e-05,1.000518132572611,1.000819773035544,1.0,1.0012316900488094,0.00015712620048779444,1.000947257029239,1.0015874107322293,1.0,-0.0001670313780430999,0.0007493309332111983,-0.0016511457530637348,0.001116770965594317,0.5375,-0.0014832710626815312,0.0009946496694319886,-0.0032643393585574,0.00041119100792237146,0.425
64,0.1,0.09375,6,biased,0.25,0.5,0.15,random-fixed,80,3.421411623803772e-05,2.6305228733250012e-05,-1.1750699172241863e-05,8.841498275189207e-05,0.5375,0.00020487690543705695,0.00015750138199994147,-9.302714057886662e-05,0.0005148524938159848,0.5375,0.0004450645256978918,0.0009964601120137214,-0.0015549901481955208,0.002298613782002497,0.5,0.10065104166666668,0.0020818803444515605,0.09666536458333333,0.10514648437499999,1.0,0.11208333333333334,0.0022483438583733653,0.10796744791666668,0.11652408854166665,1.0,1.000111786578102,1.641397270138153e-05,1.0000846417866238,1.0001500482403765,1.0,1.0001460006943401,2.2437023984443906e-05,1.000100872324752,1.0001889675021058,1.0,1.000670214672159,9.828188639090862e-05,1.0005050854305952,1.0009058200048693,1.0,1.000875091577596,0.00013434840126738272,1.0006406760682776,1.0011953465492074,1.0,-0.0002420577888607118,0.0006853612404618186,-0.0016595402596920386,0.0010299393343686325,0.475,0.00020300673683717947,0.0007646879514640343,-0.0011801130288691766,0.001645495622912732,0.5375
64,0.1,0.09375,6,biased,0.25,1.0,0.15,mean,80,0.000354657660897631,0.0001369538455243126,0.00012422805526474817,0.0006380404351317571,0.6125,0.002104495630623718,0.0008079507012336255,0.0008345698847267788,0.0038979697715487874,0.6125,0.004207216772666742,0.0013898491513299476,0.001458580702961507,0.0069857877039674445,0.625,0.09955729166666667,0.002132429715415631,0.09557291666666666,0.10394596354166666,1.0,0.11528645833333333,0.002443190166642553,0.11058398437499999,0.11983138020833332,1.0,1.0002351062752317,3.3149891353322624e-05,1.0001759908933636,1.0003065645348408,1.0,1.0005897639361296,0.00013411098881643553,1.0003686011531387,1.000849263241714,1.0,1.0014085203883014,0.00019819221317648588,1.0010541390036933,1.0018101089544198,1.0,1.0035130160189252,0.0007908182922127876,1.002184229742223,1.0051781550596512,1.0,0.0004589486179303971,0.0007086860121275797,-0.0007986916096439399,0.00214963473397938,0.475,0.00466616539059714,0.0011982237791730089,0.0024949544617251197,0.0070998024747737885,0.5875
64,0.1,0.09375,6,biased,0.25,1.0,0.15,pc1,80,0.000143281800401146,4.3525995618749365e-05,6.258415998222884e-05,0.000230593060945341,0.6875,0.0008563225600570934,0.000259985955071038,0.0003798522344613947,0.0013466062837749727,0.6875,0.0006193134930670205,0.0010204610770074816,-0.001310794793283093,0.0026328726594480583,0.5,0.09914062500000001,0.0023057362472060526,0.09498372395833334,0.10360872395833333,1.0,0.10651041666666665,0.0022892005214349954,0.10218619791666667,0.11108528645833333,1.0,1.0002015539906666,2.9311749193311164e-05,1.0001480870122164,1.0002601663154327,1.0,1.0003448357910678,5.239747394939919e-05,1.0002504296389005,1.0004598534692426,1.0,1.0012077050735038,0.00017539049360638638,1.0008986027447102,1.001546130255994,1.0,1.0020640276335608,0.0003127835568539589,1.0015048467239571,1.0026871014538532,1.0,0.0003458644582114014,0.0005965858778170455,-0.0009137329401544379,0.0015606137325693869,0.4875,0.000965177951278422,0.0009222659618374691,-0.0008507272853555565,0.0027148245696471127,0.6
64,0.1,0.09375,6,biased,0.25,1.0,0.15,random-fixed,80,2.8415184101285294e-05,5.174190365435428e-05,-8.95851933297364e-05,0.00013319649836574058,0.5375,0.00017017988038948162,0.0003091395402563849,-0.0003945776437149112,0.0007734135609187265,0.5375,-0.0003739464769159515,0.0008622322148358355,-0.0020178408909684864,0.0012556072038452995,0.4875,0.09864583333333334,0.002457248070896966,0.09433268229166666,0.10320312499999999,1.0,0.10877604166666666,0.0025883469255376197,0.10346223958333334,0.11397721354166666,1.0,1.0002256747931733,3.570893547746048e-05,1.0001671755105128,1.000297147642938,1.0,1.0002540899772743,3.6984084981827636e-05,1.0001900707583664,1.0003317694635825,1.0,1.0013517912034933,0.00021340390832152444,1.000971277776641,1.0017840909319717,1.0,1.0015219710838827,0.0002209553977837909,1.001128255773297,1.0019679262914643,1.0,0.0009680475547934076,0.0006540892176384182,-0.00032219364906633705,0.0022824335590012662,0.6,0.000594101077877456,0.0007253307964736154,-0.0008450304409999824,0.001852142732637003,0.5375
64,0.1,0.09375,6,biased,0.25,2.0,0.15,mean,80,0.00012845825685540714,0.00016281525230870943,-0.00019607899503945256,0.0004325982425550787,0.5125,0.0007693660687251747,0.0009617529452388761,-0.0010560158300204035,0.002681238659456176,0.5125,0.002046146532940793,0.0012130190036960852,-0.00045099945464788894,0.004351420593948059,0.6,0.09890625,0.001982313107962336,0.095271484375,0.10267252604166666,1.0,0.11447916666666669,0.002940188269264421,0.10876236979166667,0.11989973958333332,1.0,1.0005425720112122,0.00011392351193638133,1.0003701332172226,1.00081021199685,1.0,1.0006710302680677,0.0001096312766088882,1.0004770167364425,1.0008725138424166,1.0,1.003236354111284,0.0006712926405219672,1.0021707367404133,1.004842595392587,1.0,1.0040057201800092,0.0006490086532639986,1.0028858825973141,1.005604903059884,1.0,0.0002602431667003396,0.0008829768033859391,-0.0013178907523005504,0.001920707836821695,0.4,0.0023063896996411326,0.0007931271317825011,0.0007467430433038219,0.00405965233808744,0.5625
64,0.1,0.09375,6,biased,0.25,2.0,0.15,pc1,80,0.00014695760544659598,8.297996963272438e-05,-1.3963289289737749e-05,0.00032188542263056905,0.5875,0.0008758715204047002,0.0004946590966588153,-9.540562849571974e-05,0.0018439593155198143,0.5875,0.0010506746302642422,0.001077535357010637,-0.0013867504321020924,0.0031199722049156274,0.525,0.09791666666666668,0.002412657630596473,0.09339388020833334,0.10238476562500001,1.0,0.11140625000000001,0.0024841752030470587,0.106484375,0.11654166666666668,1.0,1.0003844485176063,4.340520928452945e-05,1.0003069294936253,1.0004672562077859,1.0,1.0005314061230528,7.229019349197845e-05,1.0004144490147826,1.000687741546985,1.0,1.0023022731359892,0.0002593883620027327,1.0018590093450428,1.0027952262229876,1.0,1.003178144656394,0.00043070414181211903,1.0024026206105747,1.0040467207585342,1.0,-0.0006464268989459414,0.0007373353509563354,-0.0020227842011744535,0.0008162348817799066,0.4125,0.00040424773131830067,0.0007468034532128783,-0.0011870541741896845,0.0018041705958829423,0.475
