N,nominal_load,actual_load,P,generator,corr,condition,rep,mean_pair_overlap_abs,mean_q2,mean_cost_int,mean_cost_cum
128,0.05,0.046875,6,latent,0.15,uncorrelated,30,0.07083333333333333,8.21501643003286e-05,1.00008214452321,1.0004106098882206
128,0.05,0.046875,6,latent,0.15,correlated,31,0.05416666666666667,4.989072478144957e-05,1.0000498891771132,1.0002494149433814
128,0.05,0.046875,6,latent,0.15,uncorrelated,31,0.07604166666666666,0.0002635368551987104,1.0002634851593946,1.0013163941240195
128,0.05,0.046875,6,latent,0.15,correlated,32,0.06770833333333333,0.00018003043818587644,1.000180002070863,1.000899444071117
128,0.05,0.046875,6,latent,0.15,uncorrelated,32,0.07916666666666666,6.054699609399218e-05,1.0000605440473382,1.0003026612966635
128,0.05,0.046875,6,latent,0.15,correlated,33,0.06354166666666666,7.022240606981214e-05,1.0000702197149607,1.0003510447746706
128,0.05,0.046875,6,latent,0.15,uncorrelated,33,0.07916666666666666,0.00010104082708165418,1.0001010334843112,1.0005050206944508
128,0.05,0.046875,6,latent,0.15,correlated,34,0.065625,0.00018235544283588568,1.0001823335792481,1.0009112311753372
128,0.05,0.046875,6,latent,0.15,uncorrelated,34,0.08958333333333333,0.00032075376650753297,1.0003206802149613,1.0016019340888207
128,0.05,0.046875,6,latent,0.15,correlated,35,0.08541666666666667,0.00010026582553165108,1.0001002594536292,1.000501169924741
128,0.05,0.046875,6,latent,0.15,uncorrelated,35,0.07916666666666666,0.0002767724285448571,1.0002767128232801,1.0013823751309687
128,0.05,0.046875,6,latent,0.15,correlated,36,0.0625,5.919074338148677e-05,1.000059188522396,1.00029589821142
128,0.05,0.046875,6,latent,0.15,uncorrelated,36,0.06666666666666667,0.00010104082708165416,1.0001010349719648,1.0005050578312493
128,0.05,0.046875,6,latent,0.15,correlated,37,0.084375,0.0004993310767871536,1.0004991281735618,1.0024916027606372
128,0.05,0.046875,6,latent,0.15,uncorrelated,37,0.04375,5.9578244156488306e-05,1.000059576215765,1.0002978405265097
128,0.05,0.046875,6,latent,0.15,correlated,38,0.09270833333333334,0.0003722308225866451,1.000372075369952,1.0018572823683238
