N,nominal_load,actual_load,P,deltaF_cum_mean,deltaF_cum_sem,deltaF_int_mean,deltaF_int_sem,delta_randers_asymmetry_mean,delta_randers_asymmetry_sem,corr_cost_int_mean,uncorr_cost_int_mean,corr_cost_cum_mean,uncorr_cost_cum_mean,corr_randers_asymmetry_mean,uncorr_randers_asymmetry_mean
256,0.05,0.05078125,13,0.0059022261399928055,0.0004109857546072145,0.0004561299686725029,3.1886307046370316e-05,0.01442403046268814,0.0006672974642017631,1.0004889861036055,1.000032856134933,1.0063291762100688,1.000426950070076,0.01467277894841561,0.0002487484857274698
256,0.1,0.1015625,26,0.012481510255522466,0.000783368434056283,0.0004846335138630753,3.0738001590754874e-05,0.02029559787695592,0.0007572014961728383,1.0005145616247235,1.0000299281108604,1.0132592198606902,1.0007777096051678,0.020304671173836875,9.073296880957038e-06
256,0.15,0.1484375,38,0.017775200231971322,0.0008720272621752603,0.0004735095169290382,2.3454638103264475e-05,0.022798077903515526,0.0007574979762140973,1.0005052973598887,1.0000317878429597,1.0189822079616389,1.0012070077296675,0.022878161302457352,8.008339894182518e-05
256,0.2,0.19921875,51,0.023343796265018923,0.00120018826490959,0.000465281221646352,2.4241547315419017e-05,0.02441328088615708,0.0008287207418494048,1.0004957543146789,1.0000304730930325,1.0248963213513602,1.0015525250863413,0.02433648908247704,-7.679180368004393e-05
256,0.25,0.25,64,0.027679715784751258,0.0014287363254304436,0.00044101339124447136,2.3196746605654002e-05,0.025667837326064508,0.000833000808278703,1.0004695466646394,1.000028533273395,1.0295038023289715,1.0018240865442203,0.025469203768838083,-0.00019863355722642416
256,0.3,0.30078125,77,0.03559327655563327,0.0018335858523650425,0.0004740310604807174,2.493030339228636e-05,0.02780693619951848,0.0009258258358259238,1.000505904494561,1.0000318734340803,1.0380440980823242,1.002450821526691,0.0278326579035588,2.5721704040320333e-05
256,0.35,0.3515625,90,0.03781942678377548,0.0019815349802866696,0.00043181087211330293,2.3095690012850448e-05,0.026791308610904795,0.0009312339104989394,1.0004638901763145,1.0000320793042012,1.0407015888891769,1.0028821621054014,0.026868967144906154,7.765853400135969e-05
256,0.4,0.3984375,102,0.04487248452473014,0.0022398199981009496,0.00045395642923828916,2.325319556890076e-05,0.028436492454883756,0.000961535471973999,1.0004851181868362,1.0000311617575979,1.0480453313245812,1.003172846799851,0.028493634720759015,5.714226587525961e-05
256,0.45,0.44921875,115,0.05167319382623914,0.0026582001407564476,0.000466052368453429,2.4837877394894717e-05,0.029466385812229084,0.0009998233848314986,1.0004976402793455,1.000031587910892,1.0552984960419798,1.0036253022157406,0.029502489838163053,3.61040259339677e-05
256,0.5,0.5,128,0.060583794679099245,0.0027971894330789298,0.0004928929142000715,2.3541145327382544e-05,0.031801104607539286,0.0009581149652434825,1.0005224955524337,1.0000296026382336,1.0643649964171762,1.003781201738077,0.03154554272085851,-0.00025556188668078204
256,0.55,0.55078125,141,0.06341050235150147,0.003091818600186911,0.0004698031728387342,2.380713923865474e-05,0.030746920272387325,0.0009920713211506134,1.0005008857093294,1.0000310825364906,1.0677824825895466,1.004371980238045,0.03075508716991333,8.166897526005561e-06
256,0.6,0.6015625,154,0.07233408027507804,0.003206391455670363,0.0004926727231249206,2.265885890939123e-05,0.032263019605377044,0.000979295311787145,1.0005230335500976,1.0000303608269727,1.0769978635163748,1.0046637832412968,0.032256426140300234,-6.5934650768077285e-06
