N,nominal_load,actual_load,P,generator,corr,cue_noise,deltaF_int,deltaF_cum,retrieval_degradation,failure_probability_increase,corr_final_overlap_mean,uncorr_final_overlap_mean,corr_success_mean,uncorr_success_mean,corr_spearman_cost_error,uncorr_spearman_cost_error
128,0.1,0.1015625,13,block,0.15,0.05,2.1349627114197745e-05,0.00025523848245812,0.001953125,0.006666666666666599,0.991875,0.993828125,0.9816666666666667,0.9883333333333333,0.30321160093082977,0.34146955775119714
128,0.1,0.1015625,13,block,0.15,0.1,2.1349627114197745e-05,0.00025523848245812,0.007421875000000022,0.018333333333333313,0.98546875,0.992890625,0.9616666666666667,0.98,0.3976786013761291,0.3615299144262605
128,0.1,0.1015625,13,block,0.15,0.15,2.1349627114197745e-05,0.00025523848245812,0.011328125000000022,0.025000000000000022,0.9781770833333333,0.9895052083333333,0.9483333333333334,0.9733333333333334,0.374962814356096,0.3568371595908742
128,0.1,0.1015625,13,block,0.15,0.2,2.1349627114197745e-05,0.00025523848245812,0.016223958333333344,0.03166666666666662,0.9636458333333333,0.9798697916666667,0.92,0.9516666666666667,0.3640967861526651,0.3137090020310993
128,0.1,0.1015625,13,block,0.25,0.05,0.00014636926459710153,0.0017480880966245227,0.16023437499999993,0.29499999999999993,0.8333333333333334,0.9935677083333333,0.685,0.98,0.5247404978748237,0.35032295382281486
128,0.1,0.1015625,13,block,0.25,0.1,0.00014636926459710153,0.0017480880966245227,0.1676822916666667,0.30833333333333335,0.823046875,0.9907291666666667,0.6666666666666666,0.975,0.5467002952341025,0.36164531633547
128,0.1,0.1015625,13,block,0.25,0.15,0.00014636926459710153,0.0017480880966245227,0.2073177083333334,0.3833333333333334,0.778984375,0.9863020833333334,0.57,0.9533333333333334,0.4556748419151429,0.404785492055554
128,0.1,0.1015625,13,block,0.25,0.2,0.00014636926459710153,0.0017480880966245227,0.21528645833333337,0.375,0.754921875,0.9702083333333333,0.5466666666666666,0.9216666666666666,0.3872100469425331,0.3670803696750417
128,0.1,0.1015625,13,block,0.35,0.05,0.0007338320726779646,0.008711484726044993,0.554609375,0.9083333333333333,0.43822916666666667,0.9928385416666666,0.07833333333333334,0.9866666666666667,-0.37147530093364106,0.3793225778929948
128,0.1,0.1015625,13,block,0.35,0.1,0.0007338320726779646,0.008711484726044993,0.558125,0.9233333333333333,0.4347916666666667,0.9929166666666667,0.06333333333333334,0.9866666666666667,-0.4646114460182071,0.3283577955958814
128,0.1,0.1015625,13,block,0.35,0.15,0.0007338320726779646,0.008711484726044993,0.5628124999999999,0.9183333333333333,0.42778645833333334,0.9905989583333333,0.06333333333333334,0.9816666666666667,-0.4264541884747976,0.2944607576297353
128,0.1,0.1015625,13,block,0.35,0.2,0.0007338320726779646,0.008711484726044993,0.56921875,0.91,0.4100260416666667,0.9792447916666667,0.03333333333333333,0.9433333333333334,-0.5546551798893613,0.4195870644531412
128,0.1,0.1015625,13,block,0.45,0.05,0.0029464677894410762,0.03451815726386798,0.5310416666666666,0.9916666666666667,0.46557291666666667,0.9966145833333333,0.0,0.9916666666666667,-0.7841595800728378,0.3649561762418317
128,0.1,0.1015625,13,block,0.45,0.1,0.0029464677894410762,0.03451815726386798,0.5310677083333333,0.9816666666666667,0.46140625,0.9924739583333333,0.0,0.9816666666666667,-0.8226940224889716,0.34854133713649216
128,0.1,0.1015625,13,block,0.45,0.15,0.0029464677894410762,0.03451815726386798,0.5311197916666666,0.9766666666666667,0.4604947916666667,0.9916145833333333,0.0,0.9766666666666667,-0.8088429077714935,0.3494950064350422
128,0.1,0.1015625,13,block,0.45,0.2,0.0029464677894410762,0.03451815726386798,0.5090885416666666,0.9266666666666666,0.4607291666666667,0.9698177083333334,0.0,0.9266666666666666,-0.8056181577898273,0.35455179515037694
128,0.1,0.1015625,13,latent,0.15,0.05,-4.5997622770688196e-06,-5.503268152029506e-05,0.002161458333333366,0.006666666666666599,0.9933072916666666,0.99546875,0.9766666666666667,0.9833333333333333,0.33884316287748406,0.28635007471997787
128,0.1,0.1015625,13,latent,0.15,0.1,-4.5997622770688196e-06,-5.503268152029506e-05,0.0027864583333333526,0.0033333333333332993,0.9883854166666667,0.991171875,0.9683333333333334,0.9716666666666667,0.3706433635506812,0.28985679767842676
128,0.1,0.1015625,13,latent,0.15,0.15,-4.5997622770688196e-06,-5.503268152029506e-05,0.0013541666666666563,0.01333333333333342,0.98734375,0.9886979166666666,0.96,0.9733333333333334,0.38670923065093143,0.322490555142933
128,0.1,0.1015625,13,latent,0.15,0.2,-4.5997622770688196e-06,-5.503268152029506e-05,0.010651041666666639,0.023333333333333317,0.9628645833333334,0.973515625,0.9033333333333333,0.9266666666666666,0.38465578196093053,0.27445256011557745
128,0.1,0.1015625,13,latent,0.25,0.05,0.0001411989426030047,0.0016868356721955191,0.17651041666666667,0.32499999999999996,0.8195052083333333,0.996015625,0.665,0.99,0.5505812820447271,0.261898286112732
128,0.1,0.1015625,13,latent,0.25,0.1,0.0001411989426030047,0.0016868356721955191,0.20205729166666664,0.3766666666666667,0.79390625,0.9959635416666667,0.6133333333333333,0.99,0.5875787973499342,0.26567582457685496
