N,nominal_load,actual_load,P,generator,corr,condition,mean_pair_overlap_abs_mean,mean_pair_overlap_abs_sem,n_realizations,mean_q2_mean,mean_q2_sem,mean_cost_int_mean,mean_cost_int_sem,mean_cost_cum_mean,mean_cost_cum_sem
128,0.2,0.203125,26,latent,0.25,uncorrelated,0.07014903846153846,0.00044293913104799065,50,0.00012093634271403157,3.0632257747343634e-06,1.0001209252407333,3.062614059809786e-06,1.0030165143496288,7.62021583444374e-05
128,0.2,0.203125,26,latent,0.35,correlated,0.12813750000000002,0.0014109943399325097,50,0.0007758741682146825,2.6188093018019977e-05,1.0007754258342667,2.6154698424325244e-05,1.0191269578989406,0.000635119919315281
128,0.2,0.203125,26,latent,0.35,uncorrelated,0.0706048076923077,0.0003482409444246139,50,0.0001195961116681849,3.909196364180927e-06,1.0001195850609368,3.908191751440384e-06,1.0029830442479162,9.711018323898983e-05
128,0.2,0.203125,26,latent,0.45,correlated,0.19811634615384613,0.0017494903093130145,50,0.0027756167037574463,8.495318179081465e-05,1.0027702670331686,8.459047484683836e-05,1.0663889869308287,0.0019348565126511147
128,0.2,0.203125,26,latent,0.45,uncorrelated,0.0708125,0.00042443999151135043,50,0.00012545941570248526,3.7889997873219033e-06,1.0001254468387222,3.787818959440249e-06,1.0031286876673262,9.40005813879332e-05
128,0.2,0.203125,26,mixture,0.15,correlated,0.07149038461538462,0.0003810247426167664,50,0.00012950328064117666,3.3677791805312832e-06,1.000129490797984,3.3670348402390165e-06,1.003229829441309,8.373404338867268e-05
128,0.2,0.203125,26,mixture,0.15,uncorrelated,0.07067211538461537,0.0004439757001483114,50,0.00012597800351850705,3.964319747335171e-06,1.000125965486879,3.963376401413052e-06,1.0031416831763709,9.852512382448999e-05
128,0.2,0.203125,26,mixture,0.25,correlated,0.07585961538461539,0.00047862086710486113,50,0.0001757264745298721,5.719474955564775e-06,1.0001757005561673,5.7174068300486825e-06,1.004377135948046,0.0001417170738838275
128,0.2,0.203125,26,mixture,0.25,uncorrelated,0.07016153846153846,0.00041865139346777017,50,0.0001260604852940475,3.431091883951211e-06,1.0001260484162684,3.430394632109129e-06,1.003144017648825,8.534579483615978e-05
128,0.2,0.203125,26,mixture,0.35,correlated,0.09048365384615384,0.0006505675052486101,50,0.00036263240230807384,1.2263284244964696e-05,1.0003625223450472,1.2254678835851372e-05,1.00899847485356,0.00030139242164130893
128,0.2,0.203125,26,mixture,0.35,uncorrelated,0.07079807692307692,0.00046994687295282673,50,0.0001215783681567363,4.0615881137749926e-06,1.000121566989152,4.060700562313272e-06,1.0030323955566007,0.00010099140721533965
128,0.2,0.203125,26,mixture,0.45,correlated,0.11463461538461539,0.0009974731464138214,50,0.0010596758719959747,3.7581379624316694e-05,1.0010587915787594,3.751454609544495e-05,1.025967305061998,0.0009009204057755006
128,0.2,0.203125,26,mixture,0.45,uncorrelated,0.06991442307692307,0.0004826186758589933,50,0.00011922502751255504,3.7787497160159516e-06,1.0001192135853676,3.777840888962768e-06,1.0029735267284812,9.39078704324313e-05
128,0.3,0.296875,38,block,0.15,correlated,0.07253911806543385,0.00038102140909487917,50,0.00013559548178395788,3.0056865697172215e-06,1.0001355826972362,3.0049145348488717e-06,1.0049997004161808,0.00011017571500051231
128,0.3,0.296875,38,block,0.15,uncorrelated,0.0705965504978663,0.0002976282583232144,50,0.00012522170914718787,2.4325875252648598e-06,1.000125211091554,2.4321316945735e-06,1.0046187845205363,8.938964432481153e-05
128,0.3,0.296875,38,block,0.25,correlated,0.08681054409672831,0.0006544661503932973,50,0.0002520412922782638,6.445232763441176e-06,1.0002519955958378,6.442902677063469e-06,1.0092640323336972,0.00023536144294348098
128,0.3,0.296875,38,block,0.25,uncorrelated,0.07031294452347084,0.0002894821363410632,50,0.00012192713952462043,2.2619184139374936e-06,1.0001219169633,2.2614862851313845e-06,1.0044974852065598,8.310722100669159e-05
128,0.3,0.296875,38,block,0.35,correlated,0.1303862908961593,0.001138522075404017,50,0.0008295323157924944,2.3789704528307247e-05,1.0008290320318034,2.3760200370710993e-05,1.0300440644235187,0.0008429912456806077
128,0.3,0.296875,38,block,0.35,uncorrelated,0.06999688833570412,0.00030395112220611253,50,0.000122559131309141,2.2512571388436682e-06,1.0001225488474412,2.2508149741696145e-06,1.0045207236008213,8.269976573538664e-05
128,0.3,0.296875,38,block,0.45,correlated,0.20418696657183502,0.00150355051615089,50,0.0030716900614655603,7.766438272534959e-05,1.0030652884310531,7.733406880397326e-05,1.106206047250189,0.002517237443395168
128,0.3,0.296875,38,block,0.45,uncorrelated,0.07067345305832148,0.0003221296761770769,50,0.00012643555153531004,3.1791924064933787e-06,1.000126424734749,3.1785383413273505e-06,1.004663427689016,0.00011674771391787053
128,0.3,0.296875,38,latent,0.15,correlated,0.072688033428165,0.0002752391581069008,50,0.00013869013263231007,2.682143857221565e-06,1.0001386770064913,2.6816318949884563e-06,1.005113724306696,9.854777306582353e-05
128,0.3,0.296875,38,latent,0.15,uncorrelated,0.07049786628733996,0.0003232665986554952,50,0.00012329662472713993,2.8104943045044294e-06,1.0001232863199616,2.8099808985219084e-06,1.004547980104878,0.00010329427509351321
128,0.3,0.296875,38,latent,0.25,correlated,0.08747821834992887,0.0005872188013476339,50,0.0002583382246578682,7.094364641760521e-06,1.0002582886046156,7.091279677858793e-06,1.0094918767370447,0.0002583973148313344
128,0.3,0.296875,38,latent,0.25,uncorrelated,0.07053742887624466,0.0003020863845721049,50,0.00012129274997570265,2.3500201539719636e-06,1.0001212828228567,2.3495916822072148e-06,1.0044743469729198,8.637156354245833e-05
128,0.3,0.296875,38,latent,0.35,correlated,0.13085215149359886,0.001304251004284825,50,0.0008343791691472962,2.82583923776514e-05,1.0008338620630344,2.8221795980336805e-05,1.030203187311097,0.0009995141860478789
128,0.3,0.296875,38,latent,0.35,uncorrelated,0.07080547652916075,0.00029845524697533687,50,0.00012339216323614015,2.604869111362058e-06,1.0001233814565775,2.6042422900822036e-06,1.0045509874443246,9.553771503396341e-05
128,0.3,0.296875,38,latent,0.45,correlated,0.19854151849217636,0.0015196541164646225,50,0.002836638282129249,7.48714738328935e-05,1.0028311212576047,7.458299842376586e-05,1.098480574567165,0.002453235041457576
128,0.3,0.296875,38,latent,0.45,uncorrelated,0.07055343172119488,0.0003048409720360878,50,0.00012783770627774186,2.7701578253759763e-06,1.0001278260935569,2.7694898359271716e-06,1.0047142460631064,0.00010159797034815436
128,0.3,0.296875,38,mixture,0.15,correlated,0.07075346728307257,0.0003116712023003268,50,0.00012578073448065458,2.317306536678469e-06,1.0001257700172694,2.3168081254530713e-06,1.0046393360633963,8.506880333585624e-05
128,0.3,0.296875,38,mixture,0.15,uncorrelated,0.07053298364153628,0.00028440364263027193,50,0.00012140933093432686,2.3344084669822436e-06,1.0001213995341889,2.334015303355126e-06,1.0044788352230698,8.584120803880701e-05
128,0.3,0.296875,38,mixture,0.25,correlated,0.07642603129445236,0.00026951182115216504,50,0.0001730194060939331,3.445913146992929e-06,1.000172998440163,3.444927493012808e-06,1.0063733437592974,0.00012617581984713196
128,0.3,0.296875,38,mixture,0.25,uncorrelated,0.07069612375533428,0.00028218475003165895,50,0.00012482167523012144,2.738854980138568e-06,1.000124810717174,2.738248333553462e-06,1.0046035332580434,0.00010051981849041132
128,0.3,0.296875,38,mixture,0.35,correlated,0.0898133001422475,0.00045804834240926654,50,0.0003653674252583213,1.0643386236229856e-05,1.0003652630328441,1.0636731078909494e-05,1.0133797160369236,0.0003850800742286356
128,0.3,0.296875,38,mixture,0.35,uncorrelated,0.06995777027027027,0.0002779497653859127,50,0.00012111402351138628,2.040538358841239e-06,1.0001211040573044,2.0401664790149218e-06,1.0044676813627453,7.499705416899404e-05
128,0.3,0.296875,38,mixture,0.45,correlated,0.1138042318634424,0.0007009775097141706,50,0.0010913321646611287,2.9660992007706435e-05,1.0010904280442068,2.9607972439666236e-05,1.0392319949722622,0.0010328922385168097
128,0.3,0.296875,38,mixture,0.45,uncorrelated,0.07028360597439545,0.00027411610516606425,50,0.00012544854592731947,2.8969075382154506e-06,1.0001254373846336,2.896153845889956e-06,1.0046264658476516,0.00010617846378669665
256,0.05,0.05078125,13,block,0.15,correlated,0.05252403846153847,0.000676238804383788,50,3.8677477967054095e-05,2.0620245107442634e-06,1.0000386760109168,2.0618616553418786e-06,1.0004639187540783,2.4720888925732943e-05
256,0.05,0.05078125,13,block,0.15,uncorrelated,0.05030849358974358,0.0005682376132959978,50,3.088686612151145e-05,1.2798332986967427e-06,1.000030885962311,1.2797487949676447e-06,1.0003705123787792,1.5345853314180898e-05
256,0.05,0.05078125,13,block,0.25,correlated,0.07289663461538462,0.001030700596233763,50,0.00011044119649493786,5.733526878596815e-06,1.0001104296016297,5.732296029429337e-06,1.0013236304550244,6.862603834745517e-05
256,0.05,0.05078125,13,block,0.25,uncorrelated,0.04983573717948718,0.0006874160300731,50,3.156165204581079e-05,2.0372286887601854e-06,1.0000315605440506,2.0370302375022787e-06,1.0003785805142902,2.4418241326615157e-05
