N,load,actual_load,P,generator,corr,lambda_interference,randers_alpha,randers_mode,rep,cost_uncorr_int,cost_corr_int,deltaF_int,cost_uncorr_cum,cost_corr_cum,deltaF_cum,randers_uncorr_asym,randers_corr_asym,delta_randers_asym,mean_pair_overlap_uncorr,mean_pair_overlap_corr
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,70,1.0001169477366527,1.000035594237189,-8.135349946369885e-05,1.000701481412153,1.000213546422948,-0.0004879349892050744,0.001921301392347449,-0.007750569960329891,-0.00967187135267734,0.11666666666666667,0.10833333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,71,1.0000704491173098,1.0000335439122912,-3.690520501864469e-05,1.0004226202891415,1.000201246599235,-0.000221373689906601,-0.00024348852718828528,-0.0002436503673704497,-1.6184018216441518e-07,0.09583333333333334,0.09583333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,72,1.0001090341031278,1.000078240042044,-3.0794061083749824e-05,1.0006540264088044,1.0004693484727851,-0.00018467793601928406,0.004246272196111372,-0.0029655042337792805,-0.007211776429890652,0.10208333333333333,0.075
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,73,1.0000394488366167,1.00003485612071,-4.592715906692746e-06,1.0002366696820648,1.0002091185038358,-2.755117822905717e-05,-0.001721653896961119,-0.005703422131167981,-0.0039817682342068615,0.07916666666666666,0.07083333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,74,1.0000335439122912,1.0000604848461712,2.694093388000418e-05,1.000201246599235,1.0003628542206868,0.000161607621451898,-0.004610998585258992,0.0008334656399680186,0.005444464225227011,0.10833333333333334,0.11041666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,75,1.0000237433012087,1.0000191505131726,-4.592788036106299e-06,1.0001424513522938,1.000114897578537,-2.7553773756849864e-05,-0.005570808919717928,-0.004944944291824555,0.000625864627893373,0.07708333333333334,0.09791666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,76,1.000132610805952,1.0000394488366167,-9.3161969335398e-05,1.0007954012610092,1.0002366696820648,-0.0005587315789443714,0.003623568972827802,-0.003094255947634361,-0.006717824920462163,0.11666666666666667,0.12083333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,77,1.000073606499385,1.0000591726713806,-1.4433828004367655e-05,1.0004415577634331,1.0003549835258496,-8.657423758351435e-05,0.001341639012432933,-0.004027602105667679,-0.005369241118100613,0.09375,0.09375
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,78,1.0000250555224877,1.00002767995988,2.6244373922956754e-06,1.0001503237196558,1.0001660682684876,1.5744548831797545e-05,-0.006521004113408907,-0.0039671715111430856,0.0025538326022658212,0.08958333333333333,0.12708333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,79,1.000050643493275,1.000020462740478,-3.018075279692667e-05,1.0003038224998868,1.0001227701627857,-0.00018105233710108415,-0.004932104427786798,-0.0029880715233359797,0.0019440329044508181,0.12291666666666666,0.12708333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,0,1.000044041531431,1.0000388337419595,-5.207789471439739e-06,1.0002642201014271,1.000232979836136,-3.124026529111035e-05,0.0005527635010374516,0.004817572075676436,0.004264808574638984,0.0625,0.11458333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,1,1.0004757426860478,1.000115512626413,-0.000360230059634814,1.002851070807225,1.0006928757495792,-0.0021581950576456954,-0.01648967300172939,-0.00645195150839442,0.01003772149333497,0.0875,0.11458333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,2,1.0006107904007542,1.0000473630207878,-0.0005634273799663969,1.003659166848257,1.0002841444854527,-0.003375022362804403,0.009784684992812128,0.0006567972003619873,-0.00912788779245014,0.08125,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,3,1.000027105864789,1.000329444334353,0.0003023384695639564,1.0001626241696093,1.0019750412129311,0.0018124170433218012,-0.0005585298793017264,0.015189177274676648,0.015747707153978375,0.10625,0.16458333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,4,1.0000263677420447,1.0001187928753639,9.24251333191961e-05,1.0001581960250532,1.0007125457267207,0.0005543497016675669,0.001626612784459636,0.003095642656041991,0.001469029871582355,0.11041666666666666,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,5,1.0000263677420447,1.000020462740478,-5.905001566608448e-06,1.0001581960250532,1.0001227701627857,-3.5425862267457475e-05,0.00346062328045349,-0.0008560703313330063,-0.004316693611786496,0.08541666666666667,0.10625
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,6,1.0000558512212472,1.0000697520316122,1.3900810365008454e-05,1.0003350605527757,1.000418439240015,8.337868723939934e-05,0.0049467458676673804,0.0023425063650498166,-0.002604239502617564,0.1375,0.09375
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,7,1.0008376049545393,1.0000263267352096,-0.0008112782193296919,1.005015158565699,1.0001579500164475,-0.004857208549251535,0.020631667752090587,-0.0029806473854748056,-0.02361231513756539,0.1375,0.1
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,8,1.0000291151961656,1.000034979140161,5.86394399548773e-06,1.0001746784637973,1.0002098564917157,3.51780279184144e-05,-0.0017243268748312714,-0.002649548591520463,-0.0009252217166891917,0.075,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,9,1.0000676607716041,1.0018100914917103,0.0017424307201061584,1.0004058959877906,1.0108119293359075,0.01040603334811685,-0.003643221122308166,-0.03629351763494686,-0.0326502965126387,0.1,0.10833333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,10,1.0000709821825156,1.00002448142589,-4.650075662548936e-05,1.000425817550213,1.0001468795665596,-0.0002789379836534156,0.006103570648263563,-0.004799731407081279,-0.010903302055344842,0.07708333333333334,0.10625
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,11,1.00002767995988,1.0000387107229827,1.1030763102715113e-05,1.0001660682684876,1.000232241865317,6.617359682925539e-05,0.0026621176744587483,-0.0028062681773131037,-0.005468385851771852,0.08541666666666667,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,12,1.000042032230045,1.000866531895158,0.0008244996651129988,1.0002521668863282,1.0051879864020727,0.004935819515744511,0.002675438652917228,-0.007222298542385155,-0.009897737195302384,0.10208333333333333,0.0875
64,0.1,0.09375,6,latent,0.15,0.5,0.15,pc1,13,1.0000453537260754,1.000124738299165,7.938457308953595e-05,1.0002720915104413,1.000748196574865,0.00047610506442374856,-0.0011007124545868495,-0.006857730652359033,-0.005757018197772184,0.0875,0.075
