N,nominal_load,actual_load,P,generator,corr,condition,rep,cue_noise,cue_id,target_index,cost_int,cost_cum,initial_overlap,final_overlap,retrieval_error,success,iterations
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,10,5,1.0000430358787802,1.0002151608770165,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,11,1,1.0000537158522382,1.0002685504150102,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,0,4,1.0000380227906807,1.0001900994988253,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,1,4,1.0000380227906807,1.0001900994988253,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,2,5,1.0000430358787802,1.0002151608770165,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,3,3,1.0000459420053023,1.0002296889246796,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,4,0,1.0000337362171574,1.000168669706383,0.734375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,5,1,1.0000537158522382,1.0002685504150102,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,6,4,1.0000380227906807,1.0001900994988253,0.84375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,7,5,1.0000430358787802,1.0002151608770165,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,8,5,1.0000430358787802,1.0002151608770165,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,9,4,1.0000380227906807,1.0001900994988253,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,10,0,1.0000337362171574,1.000168669706383,0.859375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.1,11,4,1.0000380227906807,1.0001900994988253,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,0,5,1.0000430358787802,1.0002151608770165,0.53125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,1,5,1.0000430358787802,1.0002151608770165,0.671875,1.0,0.0,1,2
